time [dec. year], range [m], range-rate [m/s]
2024.1420940852, 180617.978993, 0.404948
2024.1420941168, 180618.383951, 0.404969
2024.1420941485, 180618.788930, 0.404989
2024.1420941801, 180619.193929, 0.405008
2024.1420942117, 180619.598946, 0.405026
2024.1420942433, 180620.003981, 0.405044
2024.1420942749, 180620.409033, 0.405060
2024.1420943066, 180620.814101, 0.405075
2024.1420943382, 180621.219183, 0.405090
2024.1420943698, 180621.624280, 0.405104
2024.1420944014, 180622.029390, 0.405116
2024.1420944331, 180622.434513, 0.405128
2024.1420944647, 180622.839647, 0.405139
2024.1420944963, 180623.244791, 0.405149
2024.1420945279, 180623.649945, 0.405158
2024.1420945596, 180624.055107, 0.405167
2024.1420945912, 180624.460278, 0.405174
2024.1420946228, 180624.865455, 0.405180
2024.1420946544, 180625.270638, 0.405186
2024.1420946860, 180625.675827, 0.405191
2024.1420947177, 180626.081019, 0.405194
2024.1420947493, 180626.486215, 0.405197
2024.1420947809, 180626.891413, 0.405199
2024.1420948125, 180627.296613, 0.405200
2024.1420948442, 180627.701814, 0.405201
2024.1420948758, 180628.107014, 0.405200
2024.1420949074, 180628.512213, 0.405198
2024.1420949390, 180628.917410, 0.405196
2024.1420949707, 180629.322604, 0.405192
2024.1420950023, 180629.727794, 0.405188
2024.1420950339, 180630.132980, 0.405183
2024.1420950655, 180630.538159, 0.405177
2024.1420950971, 180630.943332, 0.405170
2024.1420951288, 180631.348498, 0.405162
2024.1420951604, 180631.753655, 0.405153
2024.1420951920, 180632.158803, 0.405143
2024.1420952236, 180632.563940, 0.405132
2024.1420952553, 180632.969067, 0.405121
2024.1420952869, 180633.374181, 0.405108
2024.1420953185, 180633.779282, 0.405094
2024.1420953501, 180634.184369, 0.405080
2024.1420953818, 180634.589442, 0.405065
2024.1420954134, 180634.994498, 0.405048
2024.1420954450, 180635.399538, 0.405031
2024.1420954766, 180635.804560, 0.405013
2024.1420955082, 180636.209563, 0.404993
2024.1420955399, 180636.614546, 0.404973
2024.1420955715, 180637.019509, 0.404952
2024.1420956031, 180637.424451, 0.404930
2024.1420956347, 180637.829369, 0.404907
2024.1420956664, 180638.234264, 0.404883
2024.1420956980, 180638.639135, 0.404858
2024.1420957296, 180639.043980, 0.404832
2024.1420957612, 180639.448799, 0.404805
2024.1420957929, 180639.853590, 0.404777
2024.1420958245, 180640.258353, 0.404748
2024.1420958561, 180640.663086, 0.404718
2024.1420958877, 180641.067789, 0.404687
2024.1420959193, 180641.472461, 0.404655
2024.1420959510, 180641.877100, 0.404623
2024.1420959826, 180642.281706, 0.404589
2024.1420960142, 180642.686277, 0.404554
2024.1420960458, 180643.090813, 0.404518
2024.1420960775, 180643.495312, 0.404481
2024.1420961091, 180643.899774, 0.404443
2024.1420961407, 180644.304198, 0.404404
2024.1420961723, 180644.708582, 0.404364
2024.1420962040, 180645.112926, 0.404323
2024.1420962356, 180645.517229, 0.404281
2024.1420962672, 180645.921489, 0.404239
2024.1420962988, 180646.325705, 0.404195
2024.1420963304, 180646.729878, 0.404150
2024.1420963621, 180647.134004, 0.404104
2024.1420963937, 180647.538085, 0.404057
2024.1420964253, 180647.942118, 0.404009
2024.1420964569, 180648.346102, 0.403960
2024.1420964886, 180648.750038, 0.403910
2024.1420965202, 180649.153922, 0.403859
2024.1420965518, 180649.557756, 0.403807
2024.1420965834, 180649.961537, 0.403754
2024.1420966151, 180650.365264, 0.403701
2024.1420966467, 180650.768938, 0.403646
2024.1420966783, 180651.172556, 0.403590
2024.1420967099, 180651.576117, 0.403533
2024.1420967416, 180651.979622, 0.403476
2024.1420967732, 180652.383068, 0.403417
2024.1420968048, 180652.786456, 0.403357
2024.1420968364, 180653.189783, 0.403297
2024.1420968680, 180653.593049, 0.403235
2024.1420968997, 180653.996253, 0.403173
2024.1420969313, 180654.399395, 0.403110
2024.1420969629, 180654.802472, 0.403045
2024.1420969945, 180655.205485, 0.402980
